LMB1D_IDcu,LMB1D_IDor,LMB1D_area,LMB3A_IDcu,LMB3A_Area,Area
159,409,86561030,17,61807279,36804742
159,409,86561030,19,85325172,27952962
159,409,86561030,13,79286128,4217
159,409,86561030,12,198848160,10099995
159,409,86561030,33,180195539,11564527
160,410,86561030,17,61807279,7083831
160,410,86561030,19,85325172,5254424
160,410,86561030,13,79286128,33520971
160,410,86561030,12,198848160,36000862
160,410,86561030,74,183729366,4565176
161,411,86561030,13,79286128,15691825
161,411,86561030,12,198848160,7861136
161,411,86561030,40,570630459,21223980
161,411,86561030,74,183729366,41883678
162,412,86561030,40,570630459,38719268
162,412,86561030,61,146515818,7300091
162,412,86561030,80,366895138,11529637
162,412,86561030,74,183729366,28962051
163,413,86561030,40,570630459,17565394
163,413,86561030,61,146515818,45702
163,413,86561030,80,366895138,68950072
164,414,86561030,53,103778518,474382
164,414,86561030,80,366895138,86086636
165,415,86561030,47,215746183,42781828
165,415,86561030,53,103778518,1642224
165,415,86561030,80,366895138,42184334
166,416,86561030,88,415056253,8742385
166,416,86561030,47,215746183,46286214
166,416,86561030,65,2681638212,7906036
166,416,86561030,80,366895138,23792814
167,417,86561030,88,415056253,50413285
167,417,86561030,47,215746183,8014628
167,417,86561030,65,2681638212,28143153
168,418,86561030,88,415056253,49586869
168,418,86561030,65,2681638212,36974145
169,419,86561030,88,415056253,34459071
169,419,86561030,65,2681638212,52102047
170,420,63516700,88,415056253,3121605
170,420,63516700,65,2681638212,60347220
171,703,65672554,18,1058895316,65536449
172,702,73421135,18,1058895316,73276652
173,701,28709921,18,1058895316,28553586
174,472,86866060,14,7252413,95492
174,472,86866060,31,41505966,36841876
174,472,86866060,54,23577827,17123260
174,472,86866060,60,14150610,4368068
174,472,86866060,85,57181036,19929704
174,472,86866060,90,94840189,8483333
175,505,87018166,34,25951788,759868
175,505,87018166,36,262027065,5147958
175,505,87018166,79,256232117,670
175,505,87018166,85,57181036,123942
175,505,87018166,76,54275025,42051344
175,505,87018166,90,94840189,38821621
176,506,87018166,79,256232117,47969118
176,506,87018166,77,224637779,3250740
176,506,87018166,76,54275025,1280813
176,506,87018166,90,94840189,34506685
177,473,86866060,79,256232117,15849750
177,473,86866060,85,57181036,29012211
177,473,86866060,86,75355306,31439166
177,473,86866060,90,94840189,10480480
178,507,87018166,79,256232117,63640958
178,507,87018166,77,224637779,23387985
179,474,86866060,22,130961215,24326527
179,474,86866060,79,256232117,42757084
179,474,86866060,86,75355306,19804185
180,508,87018166,56,316441568,53240839
180,508,87018166,79,256232117,26543514
180,508,87018166,77,224637779,7201381
181,475,86866060,22,130961215,47585586
181,475,86866060,56,316441568,1698633
181,475,86866060,79,256232117,37582792
182,476,86866060,22,130961215,8571458
182,476,86866060,23,235207937,57006626
182,476,86866060,56,316441568,3641696
182,476,86866060,79,256232117,17722338
183,509,87018166,23,235207937,4036366
183,509,87018166,56,316441568,80757156
183,509,87018166,79,256232117,2172132
184,477,86866060,23,235207937,70159070
184,477,86866060,39,418791245,16202258
184,477,86866060,61,146515818,504592
185,510,87018166,23,235207937,5998791
185,510,87018166,39,418791245,44022456
185,510,87018166,56,316441568,36973096
186,478,86866060,23,235207937,5132580
186,478,86866060,39,418791245,80642031
186,478,86866060,61,146515818,1116977
186,478,86866060,87,144488243,5664
187,511,87018166,39,418791245,82608029
187,511,87018166,56,316441568,4421232
188,479,86866060,39,418791245,19948291
188,479,86866060,70,112669234,942882
188,479,86866060,87,144488243,66013432
189,512,87018166,35,377356241,17692384
189,512,87018166,39,418791245,69325613
190,480,86866060,35,377356241,7234626
190,480,86866060,53,103778518,8436465
190,480,86866060,39,418791245,1735934
190,480,86866060,70,112669234,46628433
190,480,86866060,87,144488243,22836773
191,513,87018166,35,377356241,48107797
191,513,87018166,39,418791245,9112815
191,513,87018166,70,112669234,29805995
192,481,86866060,93,156933002,7238757
192,481,86866060,35,377356241,15176407
192,481,86866060,53,103778518,5633573
192,481,86866060,70,112669234,29691220
192,481,86866060,82,40052465,28517143
192,481,86866060,75,297430536,502038
193,514,87018166,35,377356241,81217249
193,514,87018166,75,297430536,5774159
194,482,86866060,93,156933002,48899660
194,482,86866060,70,112669234,298797
194,482,86866060,82,40052465,9514694
194,482,86866060,75,297430536,28067338
195,483,86866060,88,415056253,3798663
195,483,86866060,93,156933002,56557988
195,483,86866060,59,304539931,2313793
195,483,86866060,75,297430536,24325963
196,484,86866060,88,415056253,23292639
196,484,86866060,93,156933002,2142516
196,484,86866060,59,304539931,61364024
197,485,77242643,88,415056253,23109759
197,485,77242643,59,304539931,53989059
198,515,87018166,35,377356241,3075963
198,515,87018166,75,297430536,83927777
199,516,87018166,59,304539931,638900
199,516,87018166,75,297430536,86440692
200,517,87018166,59,304539931,77435203
200,517,87018166,73,590322834,2219484
200,517,87018166,75,297430536,7363607
201,518,85446652,59,304539931,68204138
201,518,85446652,73,590322834,17123790
202,519,37182790,59,304539931,35240000
202,519,37182790,73,590322834,1722943
203,538,87170001,10,523510767,11695087
203,538,87170001,36,262027065,73345400
203,538,87170001,76,54275025,2108824
204,539,87170001,10,523510767,33780100
204,539,87170001,36,262027065,588069
204,539,87170001,79,256232117,1993763
204,539,87170001,77,224637779,50241447
204,539,87170001,76,54275025,525845
205,540,87170001,10,523510767,1596549
205,540,87170001,77,224637779,85606317
206,541,87170001,25,591590255,17098895
206,541,87170001,56,316441568,25187360
206,541,87170001,77,224637779,44805315
207,542,87170001,25,591590255,41125533
207,542,87170001,56,316441568,46110551
208,543,87170001,25,591590255,57913971
208,543,87170001,56,316441568,29267254
209,544,87170001,21,422877216,31832654
209,544,87170001,25,591590255,15000052
209,544,87170001,39,418791245,9184418
209,544,87170001,56,316441568,31110223
210,545,87170001,21,422877216,13053788
210,545,87170001,35,377356241,414805
210,545,87170001,39,418791245,69607404
210,545,87170001,56,316441568,4033530
211,546,87170001,21,422877216,7907400
211,546,87170001,37,968849309,13854
211,546,87170001,35,377356241,69931354
211,546,87170001,39,418791245,9323628
212,547,87170001,37,968849309,4591862
212,547,87170001,35,377356241,82596340
213,548,87170001,37,968849309,24788295
213,548,87170001,35,377356241,47638127
213,548,87170001,75,297430536,14876621
214,549,87170001,37,968849309,35534935
214,549,87170001,73,590322834,9272515
214,549,87170001,75,297430536,42422839
215,550,87170001,37,968849309,12613749
215,550,87170001,59,304539931,4519652
215,550,87170001,73,590322834,66207947
215,550,87170001,75,297430536,3729502
216,551,87170001,59,304539931,504073
216,551,87170001,73,590322834,86665961
217,552,69655900,73,590322834,69487134
218,553,39227544,73,590322834,39134861
219,469,86866060,94,53028681,45221063
219,469,86866060,92,41129359,15848362
